lineage_id,public_artifact,public_field,restricted_input_field_class,transformation,script,function,public_verification,notes
LIN-001,analysis/results/analysis_summary.json,scope.source_episode_rows,merged-row presence,Count retained episode rows,analysis/scripts/run_workstation_analysis.py,main,receipt only,Requires restricted merged input
LIN-002,analysis/results/analysis_summary.json,scope.source_conversation_count,pseudonymous source reference,Count distinct source references,analysis/scripts/run_workstation_analysis.py,main,receipt only,No source reference is released
LIN-003,analysis/results/pooled_summary.csv,verification_successful,completed tool-call status and verify-class action,"Indicator for at least one completed-successful verification call; aggregate mean by condition",analysis/scripts/run_workstation_analysis.py,completed_successful_verification and pooled_summary,arithmetic from governed derivative,Only tool-trace behavioral measure
LIN-004,analysis/results/pooled_summary.csv,audit_signal,prompt text,Regex-defined audit-stage signal then aggregate mean by condition,analysis/upstream_contract/scripts/postrun-context-screen.py,matched_groups and episode_classification,aggregate only,No prompt text or match excerpt is released
LIN-005,analysis/results/pooled_summary.csv,remediation_signal,prompt text,Regex-defined remediation-stage signal then aggregate mean by condition,analysis/upstream_contract/scripts/postrun-context-screen.py,matched_groups and episode_classification,aggregate only,Classifier-coupled proxy
LIN-006,analysis/results/pooled_summary.csv,packaging_release_signal,prompt text,Regex-defined packaging or release-stage signal then aggregate mean by condition,analysis/upstream_contract/scripts/postrun-context-screen.py,matched_groups and episode_classification,aggregate only,Classifier-coupled proxy
LIN-007,analysis/results/pooled_summary.csv,multistage_signal,stage signal mask,Indicator that at least two distinct stage signals are present,analysis/scripts/run_workstation_analysis.py,transform,aggregate arithmetic,Classifier-coupled proxy
LIN-008,analysis/results/pooled_summary.csv,grounded_decision_trace,prompt text,Regex-defined grounded-decision trace signal then aggregate mean by condition,analysis/upstream_contract/scripts/postrun-context-screen.py,episode_classification,aggregate only,Classifier-coupled proxy
LIN-009,analysis/results/pooled_summary.csv,duration_min,episode start and end timestamps,Elapsed observed trajectory minutes then median by condition,analysis/scripts/run_workstation_analysis.py,transform and pooled_summary,aggregate arithmetic,Exact timestamps withheld
LIN-010,analysis/results/pooled_summary.csv,completed_substantive_actions,completed action records,Count completed substantive actions then median by condition,analysis/scripts/run_workstation_analysis.py,transform and pooled_summary,aggregate arithmetic,Action count is not effort or quality
LIN-011,analysis/results/pooled_summary.csv,min_per_action,duration and action count,Duration divided by positive completed-action count then median by condition,analysis/scripts/run_workstation_analysis.py,transform and pooled_summary,aggregate arithmetic,Not total labor
LIN-012,analysis/results/station_effects.csv,effect,pseudonymous station and metric values,Within-station condition contrast,analysis/scripts/run_workstation_analysis.py,station_effects,public recomputation input for equal-station view,No station identity key exists in the release
LIN-013,analysis/results/equal_station_summary.csv,effect and interval,station effects,Mean station effect and deterministic 50000-repetition station bootstrap interval,analysis/scripts/run_workstation_analysis.py,equal_station_summary,recomputed from public station effects,Descriptive sensitivity
LIN-014,analysis/results/archive_group_summary.csv,effect,station capture group and metric values,Condition contrast within initial or subsequent archive group,analysis/scripts/run_workstation_analysis.py,archive_group_summary,aggregate arithmetic,Capture batch is not a randomized period
LIN-015,analysis/results/action_count_verification_strata.csv,gap,condition action count and verification indicator,Within-bin verification-rate difference,analysis/scripts/derive_action_count_verification.py,summarize,aggregate arithmetic,Action count includes verification and is post-exposure
LIN-016,analysis/results/action_count_verification_summary.json,comparator_standardized_gap,public action-bin rates and comparison weights,Weighted sum of within-bin gaps using comparison distribution,analysis/scripts/derive_action_count_verification.py,summarize,recomputed from public strata,Diagnostic only
LIN-017,analysis/results/inheritance_window_sensitivity.csv,candidate_positive_rate,restricted candidate map minimum qualifying window,Candidate-positive count divided by eligible rows at each window,analysis/scripts/run_inheritance_pilot.py,main,aggregate arithmetic,Every row-level label remains unadjudicated
LIN-018,analysis/results/inheritance_pilot_summary.json,tier_counts,restricted candidate mapping class,Count automated linkage tiers after rule precedence,analysis/scripts/run_inheritance_pilot.py,main,aggregate cross-check,Strong-or-probable predecessor set differs from balanced strong-only arm
LIN-019,data/catalog/aggregate_catalog.csv,all public view fields,public aggregate CSV and JSON files,Normalize heterogeneous aggregate views into a filterable long table,scripts/build_public_catalog.py,build_catalog,byte-identical deterministic rebuild,No new row-level information is introduced
LIN-020,Context_Engineering_Evidence_Explorer.xlsx,all worksheets,public aggregate and provenance files,Reviewer-facing rendering of tracked public tables,local workbook build,artifact-tool builder,source tables remain canonical,Workbook contains no hidden raw-data sheet
