claim_id,manuscript_locator,claim_summary,evidence_file,record_selector,generator,verification_mode,claim_status,boundary_note
CE-C01,Abstract and Section 5A,"31,919 episodes; 4,760 conversation sources; 13 station archives",analysis/results/analysis_summary.json,scope,analysis/scripts/run_workstation_analysis.py,receipt plus source rerun,verified,Raw frame remains restricted
CE-C02,Abstract and Section 5B,"1,484 observations per condition in the primary construction; 2,246 unrestricted",analysis/results/analysis_summary.json,scope.primary_frontloaded_balanced_per_condition and scope.unrestricted_balanced_per_condition,analysis/scripts/run_workstation_analysis.py,aggregate cross-file check,verified,Exact balancing cells withheld
CE-C03,Section 5C and Table 4,Six primary process-signal directions and rates,analysis/results/pooled_summary.csv,analysis_set=primary_frontloaded and effect_scale=risk_difference,analysis/scripts/run_workstation_analysis.py,aggregate arithmetic,verified,Five prompt-language measures are classifier-coupled proxies
CE-C04,Abstract and Section 5C,"Verification 46.7% versus 32.2%; raw gap +14.5 percentage points",analysis/results/pooled_summary.csv,analysis_set=primary_frontloaded;metric=verification_successful,analysis/scripts/run_workstation_analysis.py,aggregate arithmetic,verified,Descriptive association only
CE-C05,Section 5D,Equal-station sensitivity and descriptive intervals,analysis/results/equal_station_summary.csv,analysis_set=primary_frontloaded,analysis/scripts/run_workstation_analysis.py,recomputed from public station effects,verified,Intervals are descriptive station bootstrap sensitivities
CE-C06,Section 5G and Table S3,Primary comparator-standardized verification gap +6.7 percentage points,analysis/results/action_count_verification_summary.json,analysis_set=primary_frontloaded;archive_batch=all,analysis/scripts/derive_action_count_verification.py,public strata recomputation,verified,Post hoc diagnostic; not confounding adjustment
CE-C07,Section 5G and Table S3,Unrestricted comparator-standardized verification gap +3.9 percentage points,analysis/results/action_count_verification_summary.json,analysis_set=unrestricted;archive_batch=all,analysis/scripts/derive_action_count_verification.py,public strata recomputation,verified,Post hoc diagnostic
CE-C08,Section 5G and Table S3,Subsequent-capture primary comparator-standardized gap -2.1 percentage points,analysis/results/action_count_verification_summary.json,analysis_set=primary_frontloaded;archive_batch=subsequent_capture_ST04_ST13,analysis/scripts/derive_action_count_verification.py,public strata recomputation,verified,Only the 6+ action bin is positive in this batch
CE-C09,Section 5F,Timing interpretation is inconclusive because pooled and equal-station estimators differ,analysis/results/pooled_summary.csv and analysis/results/equal_station_summary.csv,metric=duration_min and metric=min_per_action,analysis/scripts/run_workstation_analysis.py,cross-view comparison,bounded,Observed trajectory time is not total labor or completion speed
CE-C10,Section 5H and Supplement S-D,"2,726 of 3,326 eligible comparison rows candidate-positive at window 20 (82.0%)",analysis/results/inheritance_pilot_summary.json,sensitivity.window=20,analysis/scripts/run_inheritance_pilot.py,aggregate arithmetic,verified,"Automated, unadjudicated, three-station pilot; strong-or-probable predecessors"
CE-C11,Supplement S-B,One locked ST02 manifest source was absent and not scanned,data/provenance/source_chain_receipts.csv,receipt_id=SRC-02,analysis/upstream_contract/scripts/postrun-context-screen.py,receipt verification,verified limitation,"The absent source is outside the 31,919-row frame"
CE-C12,Discussion and limitations,The archival classifier does not test implementation of the five roles or four concerns,analysis/upstream_contract/PUBLICATION_ANALYSIS_DEVIATION.md,Authorized analytical meaning,analysis contract,documented construct boundary,bounded,No construct-validity or formal-method implementation claim
